"Legacy Identifier","Identifier","Alternate Identifier","Title#1","Description#1","Description#2","Subject 1#1","Subject Type 1#1","Subject 2#1","Subject Type 2#1","Subject 3#1","Subject Type 3#1","Subject 4#1","Subject Type 4#1","Subject 5#1","Subject Type 5#1","Subject 6#1","Subject Type 6#1","Subject 6#2","Subject Type 6#2","Subject 6#3","Subject Type 6#3","Subject 6#4","Subject Type 6#4","Subject 6#5","Subject Type 6#5","Subject 6#6","Subject Type 6#6","Subject 6#7","Subject Type 6#7","Type#1","Source#1","Relation#1","Relation Type#1","Relation#2","Coverage Spatial#1","Coverage Spatial Type#1","Coverage Spatial#2","Coverage Spatial Type#2","Creator#1","Creator Type#1","Creator 2#1","Creator Type 2#1","Creator 3#1","Creator Type 3#1","Creator 4#1","Creator Type 4#1","Creator 5#1","Creator Type 5#1","Creator 5#2","Creator Type 5#2","Creator 5#3","Publisher#1","Publisher#2","Contributor 1#1","Contributor Type 1#1","Contributor 2#1","Contributor Type 2#1","Contributor 3#1","Contributor Type 3#1","Rights#1","Date#1","Date Type#1","Date#2","Date Type#2","Format Extent#1","Format Medium#1","Format Media Type#1","Format Medium#2","Format Medium#3","Language#1","Language 2#1","Language 3#1","Language#2","Language 3#2","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"","135_36","","Creating Our Jewish Future","","","","","","","","","","","","","","","","","","","","","","","","","","","Moving image","Rabbi Zalman Schachter-Shalomi Collection","Special Collections, Archives & Preservation, University of Colorado Boulder","Local","","","","","","Unidentified creator","","","","","","","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","Undated","","","","01:29:00","video/mp4","IANA","","","","","","","","1102148","4706","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1102148~"
"","narv_zalman_132_2_delawareValleyForum_a.mp4","","Delaware Valley Forum - Interview With Rabbi Schachter-Shalomi","In this video, Rabbi Zalman Schachter-Shalomi is interviewed on the television show Delaware valley Forum by Dorie Lenz regarding his book, ""From Age-ing to Sage-ing."" Recorded in 1995, the interview is primarily concerned with how to live a meaningful life when older. Discussion topics include: The life of elders in America, harvesting the seeds sown during one's life, and exercises and guidance provided in the book.","","Aging","LCSH","Well-being--Age factors","LCSH","Spirituality","LCSH","Older people","LCSH","Solitude","LCSH","","","Spiritual Eldering Institute","Local","Judaism","LCSH","Jewish renewal","LCSH","","","","","","","Moving image","Rabbi Zalman Schachter-Shalomi Collection","Special Collections, Archives & Preservation, University of Colorado Boulder","Local","#REF!","Philadelphia (Pa.)","LCNAF","","","Schachter-Shalomi, Zalman, 1924-2014","Interviewee","Lenz, Dorie","Interviewer","","","","","","","","","","WPHL-TV","","Replansky, Judy","Producer","Cradic, Steve","Director","Schafer, Chris","Technical director","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1995","Created","","","14:10","video/mp4","IANA","","","English","","","","","1102028","4706","narv_zalman_132_2_delawareValleyForum_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1102028~223827"
"","narv_zalman_132_3_dialogueEldering_a.mp4","","Dialogue - Spiritual Eldering","In this video, Rabbi Zalman Schachter-Shalomi is interviewed on the television show Dialogue by the host, Rabbi Richard Address, regarding the concept of Spiritual Eldering. Recorded in 1992, the interview contains discussion topics such as: how to synthesize life experiences into an overarching meaning, how to save the experiences of a lifetime, how to deal with mortality, elder versus older, and trainings and the potential for becoming a trainer for the Spiritual Eldering Project.
T - 00:27:10 Interview with Rabbi Zalman Schachter-Shalomi | 00:29:00 - End The Larry Ferrari Show The Larry Ferrari Show consists of Larry Ferrari playing music on an organ. The first medley played is related to trains. The second medley played is Hawaiian music. The recording stops near the beginning of the Hawaiian medley.","","Aging","LCSH","Well-being--Age factors","LCSH","Spirituality","LCSH","Older people","LCSH","Solitude","LCSH","","","Spiritual Eldering Institute","Local","Mortality","LCSH","Judaism","LCSH","","","","","","","Moving image","Rabbi Zalman Schachter-Shalomi Collection","Special Collections, Archives & Preservation, University of Colorado Boulder","Local","","Philadelphia (Pa.)","LCNAF","","","Schachter-Shalomi, Zalman, 1924-2014","Interviewee","Address, Rabbi Richard","Interviewer","","","","","","","","","","WPVI-TV","","Nolde, Nancy","Producer","Markel, Bill","Director","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1992","Created","","","37:03","video/mp4","IANA","","","English","","","","","1102029","4706","narv_zalman_132_3_dialogueEldering_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1102029~224183"
"","narv_zalman_132_4_elderSeminarDay1AMPhoenix_a.mp4","","Spiritual Eldering Seminar - Phoenix - Day 1 AM","In this video, Rabbi Zalman Schachter-Shalomi is the primary speaker at the first Spiritual Eldering Seminar in the Phoenix Arizona region. While waiting for all of the attendees to arrive, Rabbi Zalman leads the group in a chant and proceeds to explain each verse of the chant. After everyone has arrived, Rabbi Zalman asks the question which provides impetus for the seminar--what is the payoff in life? He states it is to be able to look back and say it was worth it and that we learn and can give back to the global brain. As an introduction to the morning learning, Rabbi Zalman sings Psalm 23 in Hebrew. He then introduces Barry Barkhan who defines the role of an elder in society and discusses the creation of an ""Elder's Guild."" After the definition, Rabbi Zalman delves into a deeper discussion of eldering and how individuals can assume credible positions as an elder within their community. The rest of the video contains two short attendee meditations, small group discussion, and full group discussion. In addition, Rabbi Zalman provides a short biography of his life responding to an audience question.","","Aging","LCSH","Well-being--Age factors","LCSH","Spirituality","LCSH","Older people","LCSH","Judaism","LCSH","","","Jewish renewal","LCSH","Spiritual Eldering Institute","Local","Spirituality","LCSH","Jewish renewal","LCSH","","","","","Moving image","Rabbi Zalman Schachter-Shalomi Collection","Special Collections, Archives & Preservation, University of Colorado Boulder","Local","","Phoenix (Ariz.)","LCNAF","","","Schachter-Shalomi, Zalman, 1924-2014","Presenter","Barry Barkhan, Barry","","","","","","","","","","","","","Barkhan, Barry","Contributor","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1991-03-01","[Date from Archives records]","","","01:41:00","video/mp4","IANA","","","English","Hebrew","Yiddish","","","1102030","4706","narv_zalman_132_4_elderSeminarDay1AMPhoenix_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1102030~224269"
"","narv_zalman_132_5_number2_a.mp4","","Spiritual Eldering Seminar - Phoenix - Day 1 PM","This is the second video of Rabbi Zalman Schachter-Shalomi speaking at the first Spiritual Eldering Seminar in the Phoenix Arizona region. Rabbi Zalman begins by asking people to say, ""I believe,"" and then continue the thought silently in their minds. He believes that God’s speech to human beings is the truth that is in the universe. And that God has a language, and that language is called truth. Rabbi Zalman then moves into a discussion of affirmation, prayer, and liturgy--citing the Kedusha (a Hebrew prayer) as an example of affirmation in liturgical text. He then proceeds to discuss the Shechina (which by his definition is a local network of souls) and the notion of a global brain. Rabbi Zalman shifts to a group exercise and discussion and to bring them back to the lecture sings the Hebrew song Ba-Shana Ha-Ba'ah (in the year to come). The final parts of the lecture, he is concerned with the notion of 'futuring', statements about life, and a short discussion of the Elder's Guild. He finishes by discussing meditation and then the audience provides feedback on the seminar so far.","","Spirituality","LCSH","Aging","LCSH","Judaism","LCSH","Liturgy","LCSH","Meditation","LCSH","","","Prayer","LCSH","Spiritual Eldering Institute","Local","Jewish renewal","LCSH","","","","","","","Moving image","Rabbi Zalman Schachter-Shalomi Collection","Special Collections, Archives & Preservation, University of Colorado Boulder","Local","","Phoenix (Ariz.)","LCNAF","","","Schachter-Shalomi, Zalman, 1924-2014","Presenter","Barry Barkhan, Barry","","","","","","","","","","","","","Barkhan, Barry","Contributor","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","[1991-03-01]","[Date from Archives records]","","","01:58:00","video/mp4","IANA","","","English","Hebrew","Yiddish","","","1102031","4706","narv_zalman_132_5_number2_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1102031~224256"
"","narv_zalman_132_6_elderSeminarPhoenixTape3_a.mp4","","Spiritual Eldering Seminar - Phoenix - Day 2 AM","The beginning of the video begins with the conversation at the end of the first day of the seminar. When the second day begins, Rabbi Zalman begins with a song -- Hodu Ladonai Ki Tov, Ki Le-olam Chasdo. After the song, he holds a Torah and recites the Mi-she-berach prayer, asking attendees for their names to include them in the prayer. Rabbi Zalman then begins speaking about the words ""Spiritual"" and ""Holistic"" and asks the audience what their definition of eldering is. Attendees then share their homework from the previous day, including dreams and journal entries. Rabbi Zalman moves into a discussion of applied Kabbalah and relates a story of him sitting shiva (mourning) for his father. He concludes his discussion by having the attendees do a meditation on the tools for Spiritual Eldering. The video ends with a discussion of logistics for the rest of the day.
T - 00:05:46 End of Day 1 | 00:05:47 Day 2 Begins | 00:20:25 Zalman Speaks of Spiritual and Holistic | 00:59:15 Zalman Speaks on Mourning for His Father | 01:09:20 Zalman Discusses Tools for Spiritual Eldering | 01:28:48 Discussion of the day's logistics and afternoon workshops","","Spirituality","LCSH","Judaism","LCSH","Judaism","LCSH","Meditation","LCSH","Spiritual Eldering Institute","Local","","","Cabala","LCSH","Mysticism--Judaism","LCSH","Aging","LCSH","Older people","LCSH","Jewish renewal","LCSH","","","Moving image","Rabbi Zalman Schachter-Shalomi Collection","Special Collections, Archives & Preservation, University of Colorado Boulder","Local","","Phoenix (Ariz.)","LCNAF","","","Schachter-Shalomi, Zalman, 1924-2014","Presenter","Barry Barkhan, Barry","","","","","","","","","","","","","Barkhan, Barry","Contributor","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1991-03-01","[Date from Archives records]","","","01:48:00","video/mp4","IANA","","","English","Hebrew","Yiddish","","","1102032","4706","narv_zalman_132_6_elderSeminarPhoenixTape3_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1102032~224303"
"","narv_zalman_132_7_elderSeminarTape4Phoenix_a.mp4","","Spiritual Eldering Seminar - Phoenix - Day 2 PM","The video begins with the organizer of the event thanking attendees, asking for feedback, and discussing the creation of an Elder Council for the area. After which, Rabbi Zalman begins to speak and reiterates the thanks to attendees as well as any individuals who assisted with the logistics of the seminar. He then provides a brief recap of the seminar by relating the activities that occurred throughout the seminar to planting seeds. After the recap, he has attendees pair up with an individual whom they do not know and have a discussion about the afterlife, near-death experiences, and out-of-body experiences. After the small discussions, Rabbi Zalman asks if anyone would like to share parts the conversations. Several attendees share.The video ends with the attendees singing Shalom Chaverim (Hello/Goodbye My Friends).
T - 05:40 Organizer thanks attendees | 05:40 - Zalman Recaps Seminar | 25:29 Attendee conversations | 34:00 Attendees share","","Spirituality","LCSH","Judaism","LCSH","Aging","LCSH","Older people","LCSH","Spiritual Eldering Institute","Local","","","Jewish renewal","LCSH","","","","","","","","","","","Moving image","Rabbi Zalman Schachter-Shalomi Collection","Special Collections, Archives & Preservation, University of Colorado Boulder","Local","","Phoenix (Ariz.)","LCNAF","","","Schachter-Shalomi, Zalman, 1924-2014","Presenter","","","","","","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1991-03-01","[Date from Archives records]","","","47:37","video/mp4","IANA","","","English","Hebrew","Yiddish","","","1102033","4706","narv_zalman_132_7_elderSeminarTape4Phoenix_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1102033~224202"
"","narv_zalman_132_8_elderSeminarTape5Phoenix_a.mp4","","Spiritual Eldering Seminar - Phoenix - Day 2 PM-2","This is the final video of the Spiritual Eldering seminar held in Phoenix Arizona. Rabbi Zalman begins by speaking about writing letters and how powerful it can be. He relates a story of one of his former professors at Boston University and his own family tradition of writing letters before Shabbat begins. Rabbi Zalman then cites Psalm 100 in reference to the notion that individuals do not make themselves, but instead that God makes people and people belong to God. After this discussion Rabbi Zalman has candles lit and cedar burned to set a tone for the evening prayer service. He begins with Hashkivenu, then moves onto chanting Orech Yamim (Psalms 91:16), and then requests that seven attendees come up and share their experiences from the seminar. After individuals share, Rabbi Zalman returns to conclude the seminar. The audio is very low and choppy. He concludes by discussing a way of going to bed, citing common pre-bedtime liturgy including Psalms 19:15, the Shema (a central prayer in Judaism), a single line which is commonly repeated three times, and Adon Olam. In closing, all of the attendees form a huddle in the middle of the room and chant in English.
T - 00:18:25 Zalman discusses letter writing | 00:18:26 Evening Service | 00:45:18 Bedtime liturgy","","Spirituality","LCSH","Judaism","LCSH","Liturgy","LCSH","Prayer","LCSH","Spiritual Eldering Institute","Local","","","Aging","LCSH","","","","","","","","","","","Moving image","Rabbi Zalman Schachter-Shalomi Collection","Special Collections, Archives & Preservation, University of Colorado Boulder","Local","","Phoenix (Ariz.)","LCNAF","","","Schachter-Shalomi, Zalman, 1924-2014","Presenter","","","","","","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1991-03-01","[Date from Archives records]","","","01:00:00","video/mp4","IANA","","","English","Hebrew","","","","1102034","4706","narv_zalman_132_8_elderSeminarTape5Phoenix_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1102034~224279"
"","narv_zalman_132_9_floridaElder_a.mp4","","Spiritual Eldering Workshop in Florida","In this video, Rabbi Zalman Schachter-Shalomi holds a workshop in Florida regarding Spiritual Eldering and Jewish Renewal. The video begins with an introduction to the concept of Spiritual Eldering and introduces several potential issues that arise for elders. Rabbi Zalman discusses the notion of psychoprophylaxis and extends the concept to preparing for death. He then moves into a discussion of the tools for Spiritual Eldering. After a discussion of the tools, he asks the participants to have a 10 minute discussion on moving from aging to sage-ing. After discussion there is an extended period of dialogue with Rabbi Zalman asking participants to share aspects of their conversations and ask questions. He then has the participants perform socialized meditation. After the meditation, Rabbi Zalman moves into a discussion of what participants should expect and strive for after the workshop. Finally, there is a long period of question and answer between him and the participants and the video ends with Rabbi Zalman singing a nigun (a melody sung with repetitious phonemes and not words) and a brief comment on Jewish Renewal.
This video has some audio issues for the first 15 minutes and only the right channel of sound is present throughout the video aside from some very brief, intermittent left channel audio at the beginning of the recording. Additionally, there are some ""skips"" in the video where the meditative periods were cut out and perhaps some other material removed.
T - 00:22:07 Introduction | 00:22:07 Tools for Spiritual Eldering | 00:38:03 Participants Share Parts of Their Discussions | 01:20:21 Socialized Meditation | 01:27:15 Discussion of What Should Come Out of the Workshop | 02:05:33 Rabbi Zalman Discusses Jewish Renewal","","Spirituality","LCSH","Judaism","LCSH","Spiritual eldering","Local","Aging","LCSH","Older people","LCSH","","","Mortality","LCSH","Mentoring","LCSH","Meditation","LCSH","Mysticism--Judaism","LCSH","","","","","Moving image","Rabbi Zalman Schachter-Shalomi Collection","Special Collections, Archives & Preservation, University of Colorado Boulder","Local","","Florida","LCNAF","","","Schachter-Shalomi, Zalman, 1924-2014","Presenter","","","","","","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","Undated","","","","02:15:23","video/mp4","IANA","","","English","Hebrew","Yiddish","","German","1102035","4706","narv_zalman_132_9_floridaElder_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1102035~224248"
"","narv_zalman_133_10_judaismTransitionCompassSeries_a.mp4","","""Judaism: A Tradition in Transition"" (Compass Series)","This video is a recording of the Canadian television show Compass which aired on the Canadian Broadcasting Corporation. The title of the show is Compass and the segment is ""Judaism: A Tradition in Transition."" In the segment, four rabbis--Eugene Borowitz, Emil Fackenheim, Milton Himmelfarb, and Zalman Schachter-Shalomi are interviewed in conjunction with Markus Barth--Christian theologian. Topics of discussion include: Jewish assimilation, intermarriage, Hasidism, and antisemitism.","","Judaism","LCSH","Jews--Cultural assimilation","LCSH","Hasidism","LCSH","Interfaith marriage (Jewish law)","LCSH","Antisemitism","LCSH","","","","","","","","","","","","","","","Moving image","Rabbi Zalman Schachter-Shalomi Collection","Special Collections, Archives & Preservation, University of Colorado Boulder","Local","","","","","","Schachter-Shalomi, Zalman, 1924-2014","Panelist","Fackenheim, Emil L.","Panelist","Borowitz, Eugene B.","Panelist","Himmelfarb, Milton","Panelist","","","Barth, Markus","Panelist","","CBC Television","[CBLT]","Levene, Sam","Producer","Davis, Warren","Host","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1965 [Summer]","[Date from Archives records]","","","28:18","video/mp4","IANA","","","English","","","","","1102037","4706","narv_zalman_133_10_judaismTransitionCompassSeries_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1102037~223835"
"","narv_zalman_133_1_rabbiShachterRZTeachingRemarkablePersonsFeminineArchetypes_a.mp4","","Feminine Archetypes in Judaism and Kabbalah","In this video, Rabbi Zalman Schachter-Shalomi discusses the feminine aspects of God. He begins by outlining what he will be speaking about and then relates a story of his time at Boston University and finding a location to do morning prayers there. Rabbi Zalman then shifts the discussion to Kabbalah and specifically the Tetragrammaton. He explains each of the letters and their multiple meanings, including two of the four letters symbolizing mother and daughter. Rabbi Zalman then discusses the use of physical movement during prayer and relates the movements to Mudra (attributed to Hinduism, Jainism, and Buddhism). After movement, he discusses breathing and cites an example from the Jerusalem Talmud. He concludes the video by relaying a story of when he changed all of the words during his prayer from masculine to feminine and how difficult it was to break from the traditional liturgy, but how enlightening it was. There is a skip in the video near the end which resolves on just a sentence more before the video finishes.
T - 2:00 Introduction to Rabbi Zalman | 2:01 Zalman Begins Discussion | 49:16 Video skips and then ends","","Spirituality","LCSH","Judaism","LCSH","Judaism","LCSH","Cabala","LCSH","Mysticism--Judaism","LCSH","","","God--Name","LCSH","Tetragrammaton","LCSH","Femininity of God","LCSH","Liturgy","LCSH","","","","","Moving image","Rabbi Zalman Schachter-Shalomi Collection","Special Collections, Archives & Preservation, University of Colorado Boulder","Local","","","","","","Schachter-Shalomi, Zalman, 1924-2014","Presenter","","","","","","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","Undated","","","","49:34","video/mp4","IANA","","","English","Hebrew","Yiddish","","","1102036","4706","narv_zalman_133_1_rabbiShachterRZTeachingRemarkablePersonsFeminineArchetypes_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1102036~224271"
"","narv_zalman_133_3_rebZalmanRZTeachingKallahMessage2001_a.mp4","","Message to Kallah on American Politics","Rabbi Zalman Schachter-Shalomi is making a call to action to individuals watching. He discusses coming together and the intermingling of essences. He speaks of the government as a puppet and encourages individuals to think globally and act locally. Rabbi Zalman then encourages individuals to go out and proselytize.","","Religion and politics","LCSH","Judaism","LCSH","Judaism","LCSH","Judaism and politics","LCSH","Spirituality","LCSH","","","Jewish renewal","LCSH","Unknown","","","","","","","","","","Moving image","Rabbi Zalman Schachter-Shalomi Collection","Special Collections, Archives & Preservation, University of Colorado Boulder","Local","","","","","","Schachter-Shalomi, Zalman, 1924-2014","Presenter","","","","","","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","2001-06-01","[Date from Archives records]","","","05:06","video/mp4","IANA","","","English","Hebrew","","","","1102038","4706","narv_zalman_133_3_rebZalmanRZTeachingKallahMessage2001_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1102038~223820"
"","narv_zalman_133_4_lunchtimeLectureSeriesRabbiZalmanSchaterIntegratingWholeness_a.mp4","","Integrating Wholeness","Rabbi Zalman Schachter-Shalomi is speaking to a class about the three ingredients for spiritual growth: truth, goodness, and beauty. The lecture begins with him reciting a standard Jewish prayer for the dead (El Male Rachamim) which includes reference to a recent member of his class who passed away. At 05:00 he and the class begin singing Hinei Ma Tav, a common Hebrew song. At 08:23 he begins speaking about the three ingredients for spiritual growth. He also introduces the concepts of light and shadow, which are discussed later in the video. While explaining truth and beauty, he uses a Hindu story of Krishna and Arjuna to help explain his point. At 18:00, Rabbi Zalman returns to the three ingredients and describes them all as one--dimensions of the spirit. Then, at 19:04 he moves to a discussion of the shadow and how it is related to all three of the ingredients for spiritual growth. His discussion of those ingredients continues until the end of the video where he concludes with a story of Reb Nachman of Bratslav. T - 05:00 Introduction and Prayer for the Dead | 05:00 Hinei Ma Tov | 08:23 Three Ingredients for Spiritual Growth | 18:00 Unifying the Three Ingredients | 19:04 Discussion of the Shadow","","Judaism","LCSH","Spirituality","LCSH","Spirituality","LCSH","Hinduism","LCSH","Meditation","LCSH","","","Cabala","LCSH","Jewish renewal","LCSH","","","","","","","","","Moving image","Rabbi Zalman Schachter-Shalomi Collection","Special Collections, Archives & Preservation, University of Colorado Boulder","Local","","","","","","Schachter-Shalomi, Zalman, 1924-2014","Presenter","","","","","","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1999-04-28","[Date from Archives records]","","","58:02","video/mp4","IANA","","","English","Hebrew","","","","1102039","4706","narv_zalman_133_4_lunchtimeLectureSeriesRabbiZalmanSchaterIntegratingWholeness_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1102039~224276"
"","narv_zalman_133_5_wisdomSchoolResults_a.mp4","","Introduction to the 1988-1989 Wisdom School","This video contains Rabbi Zalman Schachter-Shalomi and Eve Ilsen speaking about the upcoming P'nai Or Fellowship for the 1988-1989 year, which will be the second year for the Fellowship. Eve Ilsen begins by noting the importance of the fellowship and complementing Rabbi Zalman's teachings. Both Rabbi Zalman and Eve Ilsen briefly discuss their experiences the previous year and excitement for the upcoming year. Beginning at 07:30, Ilsen and Rabbi Zalman delve into the notion of a Wisdom Schoool and the intention behind the use of that nomenclature. At 09:50, Ilsen asks Rabbi Zalman to discuss the topics for the upcoming year. A discussion between the two continues where topics such as achieving the same depth of understanding outside of textual study, bringing scripture back to life by developing new avenues of understanding, and the primal myth are examined. Additionally, there is discussion of the feminine aspect of God, masculine and feminine archetypes, and ecumenical aspects of the fellowship. The upcoming fellowship is noted to be at Fellowship Farm in Pottstown, PA.
T - 07:30 Introduction | 07:30 The Nomenclature of Wisdom School | 09:50 Discussion of Topics for Upcoming Fellowship","","Judaism","LCSH","Spirituality","LCSH","Spirituality","LCSH","Cabala","LCSH","Gender identity--Religious aspects--Judaism","LCSH","","","Femininity of God","LCSH","Bible and spiritualism","LCSH","Jewish renewal","LCSH","","","","","","","Moving image","Rabbi Zalman Schachter-Shalomi Collection","Special Collections, Archives & Preservation, University of Colorado Boulder","Local","","Pottstown (Pa.)","LCNAF","","","Schachter-Shalomi, Zalman, 1924-2014","Teacher","Ilsen, Eve","Teacher","","","","","","","","","","P'ani Or Religious Fellowship","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","Undated","","","","28:02","video/mp4","IANA","","","English","Hebrew","","","","1102040","4706","narv_zalman_133_5_wisdomSchoolResults_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1102040~223844"
"","narv_zalman_133_6_toKallahTeachers_a.mp4","","Message to Kallah on American Politics and Teaching","This video contains Rabbi Zalman Schachter-Shalomi providing a message to his Kallah (group of teachers). The first five minutes consist of a message regarding politics and urges his teachers to go out and spread their knowledge. The video then goes dark and comes back on to another message. This time Rabbi Zalman is speaking to teachers regarding how they should conduct themselves while teaching. He urges them to teach up to their students and not down. He asks that they embrace compassion over judgement. Rabbi Zalman states that the most important aspect of teaching should be that it comes from a place of love. It is only through this method that the lesson will be absorbed by the students. He has the teachers meditate with him in order to bring them to the headspace they should be in while teaching. The video ends on him reading an excerpt from, ""The Dream Assembly,"" and cuts out mid story.
T - 05:07 Political Message | 5:07 Instructions to Teachers on How to Teach","","Judaism","LCSH","Religion and politics","LCSH","Religion and politics","LCSH","Teaching","LCSH","Meditation","LCSH","","","Judaism and politics","LCSH","Unknown","","","","","","","","","","Moving image","Rabbi Zalman Schachter-Shalomi Collection","Special Collections, Archives & Preservation, University of Colorado Boulder","Local","","","","","","Schachter-Shalomi, Zalman, 1924-2014","Presenter","","","","","","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","Undated","","","","21:13","video/mp4","IANA","","","English","Hebrew","","","","1102105","4706","narv_zalman_133_6_toKallahTeachers_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~68~68~1102105~223833"
